model,time,acc,loss,val_acc,val_loss
model-1720839340,1720839377.495,0.57,0.2373,0.66,0.2084
model-1720839340,1720839377.56,0.62,0.2429,0.62,0.2271
model-1720839340,1720839377.631,0.77,0.1758,0.78,0.1813
model-1720839340,1720839377.695,0.67,0.213,0.72,0.2181
model-1720839340,1720839377.76,0.59,0.2231,0.56,0.2598
model-1720839340,1720839377.822,0.65,0.1937,0.75,0.1603
model-1720839340,1720839377.895,0.68,0.2081,0.72,0.1959
model-1720839340,1720839377.97,0.65,0.2213,0.75,0.1805
model-1720839340,1720839378.058,0.68,0.1888,0.62,0.2294
model-1720839340,1720839378.147,0.6,0.2396,0.59,0.2455
model-1720839340,1720839378.234,0.69,0.1988,0.59,0.2328
model-1720839340,1720839378.293,0.67,0.2096,0.62,0.2336
model-1720839340,1720839378.366,0.79,0.17,0.56,0.2437
model-1720839340,1720839378.461,0.57,0.2426,0.62,0.1957
model-1720839340,1720839378.55,0.64,0.212,0.56,0.2575
model-1720839340,1720839378.634,0.6,0.2251,0.69,0.245
model-1720839340,1720839378.746,0.61,0.232,0.69,0.2061
model-1720839340,1720839378.816,0.72,0.2027,0.78,0.1546
model-1720839340,1720839378.896,0.62,0.2263,0.66,0.1991
model-1720839340,1720839378.99,0.66,0.2101,0.62,0.2507
model-1720839340,1720839379.077,0.69,0.2049,0.5,0.2868
model-1720839340,1720839379.139,0.63,0.2196,0.66,0.2359
model-1720839340,1720839379.21,0.68,0.2137,0.66,0.2182
model-1720839340,1720839379.274,0.63,0.217,0.75,0.1857
model-1720839340,1720839379.34,0.76,0.1924,0.59,0.2536
model-1720839340,1720839379.409,0.67,0.216,0.81,0.1666
model-1720839340,1720839379.474,0.6,0.2327,0.62,0.2253
model-1720839340,1720839379.542,0.66,0.2092,0.84,0.166
model-1720839340,1720839379.6,0.7,0.2036,0.59,0.2018
model-1720839340,1720839379.673,0.66,0.2104,0.69,0.1972
model-1720839340,1720839379.75,0.62,0.2353,0.75,0.1961
model-1720839340,1720839379.824,0.67,0.2079,0.69,0.2149
model-1720839340,1720839379.891,0.61,0.2655,0.72,0.1755
model-1720839340,1720839379.961,0.65,0.2245,0.69,0.2099
model-1720839340,1720839380.025,0.66,0.2089,0.69,0.213
model-1720839340,1720839380.088,0.64,0.2038,0.47,0.2687
model-1720839340,1720839380.155,0.62,0.2239,0.66,0.2307
model-1720839340,1720839380.221,0.62,0.2433,0.75,0.2063
model-1720839340,1720839380.297,0.63,0.2253,0.53,0.2398
model-1720839340,1720839380.373,0.72,0.1953,0.72,0.2037
model-1720839340,1720839380.444,0.68,0.2166,0.75,0.2037
model-1720839340,1720839380.51,0.69,0.2024,0.62,0.2224
model-1720839340,1720839380.584,0.68,0.2083,0.69,0.1976
model-1720839340,1720839380.648,0.55,0.2488,0.66,0.2362
model-1720839340,1720839380.704,0.62,0.2151,0.62,0.2182
model-1720839340,1720839380.772,0.69,0.2257,0.72,0.2079
model-1720839340,1720839380.831,0.66,0.207,0.66,0.2515
model-1720839340,1720839380.893,0.69,0.1988,0.75,0.2024
model-1720839340,1720839380.985,0.7,0.2055,0.72,0.1986
model-1720839340,1720839381.073,0.59,0.2359,0.62,0.2309
model-1720839340,1720839381.143,0.71,0.2074,0.75,0.1977
model-1720839340,1720839381.209,0.61,0.2384,0.69,0.211
model-1720839340,1720839381.278,0.71,0.1932,0.69,0.213
model-1720839340,1720839381.36,0.68,0.2097,0.91,0.1459
model-1720839340,1720839381.436,0.75,0.1924,0.69,0.1832
model-1720839340,1720839381.508,0.78,0.1668,0.69,0.2079
model-1720839340,1720839381.57,0.64,0.205,0.84,0.1577
model-1720839340,1720839381.657,0.64,0.2072,0.47,0.3046
model-1720839340,1720839381.746,0.68,0.2119,0.56,0.2343
model-1720839340,1720839381.819,0.69,0.1936,0.75,0.1705
model-1720839340,1720839381.892,0.7,0.1749,0.84,0.1623
model-1720839340,1720839381.962,0.71,0.2089,0.59,0.2249
model-1720839340,1720839382.028,0.74,0.1789,0.53,0.2608
model-1720839340,1720839382.093,0.74,0.1859,0.59,0.2381
model-1720839340,1720839382.165,0.68,0.2178,0.75,0.181
model-1720839340,1720839382.225,0.64,0.2158,0.59,0.2443
model-1720839340,1720839382.294,0.72,0.1813,0.62,0.2352
model-1720839340,1720839382.372,0.69,0.2016,0.66,0.1965
model-1720839340,1720839382.448,0.69,0.2012,0.75,0.1574
model-1720839340,1720839382.517,0.62,0.2218,0.66,0.2205
model-1720839340,1720839382.601,0.69,0.1925,0.78,0.178
model-1720839340,1720839382.677,0.68,0.2141,0.59,0.2329
model-1720839340,1720839382.754,0.64,0.2252,0.81,0.1793
model-1720839340,1720839382.827,0.68,0.2206,0.53,0.249
model-1720839340,1720839382.908,0.65,0.2297,0.78,0.169
model-1720839340,1720839382.987,0.63,0.2229,0.59,0.2575
model-1720839340,1720839383.078,0.64,0.2196,0.72,0.2031
model-1720839340,1720839383.162,0.69,0.2052,0.69,0.2203
model-1720839340,1720839383.238,0.75,0.1733,0.59,0.2129
model-1720839340,1720839383.31,0.65,0.2067,0.69,0.2216
model-1720839340,1720839383.379,0.63,0.2221,0.62,0.2341
model-1720839340,1720839383.45,0.71,0.1871,0.62,0.2457
model-1720839340,1720839383.515,0.76,0.1832,0.75,0.1789
model-1720839340,1720839383.578,0.68,0.2308,0.66,0.223
model-1720839340,1720839383.643,0.69,0.2023,0.62,0.2091
model-1720839340,1720839383.737,0.68,0.2144,0.66,0.2309
model-1720839340,1720839383.808,0.66,0.2135,0.72,0.1724
model-1720839340,1720839383.868,0.64,0.201,0.69,0.1886
model-1720839340,1720839383.937,0.71,0.1959,0.59,0.2016
model-1720839340,1720839384.004,0.69,0.2,0.62,0.2513
model-1720839340,1720839384.085,0.72,0.1956,0.56,0.2674
model-1720839340,1720839384.173,0.73,0.2006,0.62,0.2165
model-1720839340,1720839384.267,0.76,0.1726,0.72,0.1777
model-1720839340,1720839384.445,0.72,0.1933,0.69,0.1971
model-1720839340,1720839384.557,0.68,0.178,0.66,0.2305
model-1720839340,1720839384.657,0.7,0.2142,0.59,0.2375
model-1720839340,1720839384.742,0.67,0.2229,0.66,0.2241
model-1720839340,1720839384.907,0.73,0.1849,0.59,0.2097
model-1720839340,1720839385.128,0.75,0.186,0.72,0.2084
model-1720839340,1720839385.296,0.71,0.1779,0.66,0.2724
model-1720839340,1720839385.529,0.73,0.189,0.62,0.2364
model-1720839340,1720839385.619,0.63,0.2316,0.72,0.1821
model-1720839340,1720839385.699,0.7,0.1965,0.66,0.2059
model-1720839340,1720839385.797,0.75,0.1962,0.69,0.2202
model-1720839340,1720839385.903,0.68,0.2058,0.66,0.2216
model-1720839340,1720839386.026,0.59,0.2247,0.75,0.1726
model-1720839340,1720839386.192,0.76,0.1979,0.69,0.1954
model-1720839340,1720839386.264,0.72,0.2005,0.75,0.1819
model-1720839340,1720839386.332,0.69,0.1975,0.53,0.2988
model-1720839340,1720839386.456,0.72,0.1874,0.62,0.1967
model-1720839340,1720839386.551,0.66,0.2027,0.62,0.2162
model-1720839340,1720839386.654,0.69,0.1931,0.5,0.2442
model-1720839340,1720839386.728,0.66,0.2065,0.62,0.2212
model-1720839340,1720839386.799,0.67,0.1894,0.66,0.2323
model-1720839340,1720839386.865,0.69,0.1962,0.78,0.1804
model-1720839340,1720839386.936,0.69,0.2156,0.69,0.2326
model-1720839340,1720839387.019,0.66,0.209,0.66,0.1972
model-1720839340,1720839387.085,0.63,0.2343,0.59,0.2229
model-1720839340,1720839387.248,0.77,0.1726,0.75,0.1916
model-1720839340,1720839387.343,0.66,0.2128,0.75,0.1907
model-1720839340,1720839387.413,0.72,0.1909,0.72,0.1886
model-1720839340,1720839387.491,0.64,0.214,0.72,0.1978
model-1720839340,1720839387.569,0.75,0.1937,0.72,0.2184
model-1720839340,1720839387.633,0.76,0.1994,0.75,0.1739
model-1720839340,1720839387.706,0.71,0.2189,0.53,0.242
model-1720839340,1720839387.775,0.7,0.205,0.62,0.2267
model-1720839340,1720839387.846,0.73,0.2037,0.84,0.1556
model-1720839340,1720839387.913,0.7,0.2018,0.62,0.2486
model-1720839340,1720839388.0,0.64,0.203,0.66,0.2196
model-1720839340,1720839388.087,0.69,0.2089,0.72,0.1992
model-1720839340,1720839388.168,0.73,0.1863,0.66,0.2606
model-1720839340,1720839388.244,0.66,0.2291,0.47,0.2928
model-1720839340,1720839388.32,0.69,0.211,0.69,0.2116
model-1720839340,1720839388.386,0.7,0.1851,0.59,0.2212
model-1720839340,1720839388.472,0.75,0.1847,0.62,0.2328
model-1720839340,1720839388.548,0.65,0.2156,0.66,0.2072
model-1720839340,1720839388.62,0.71,0.2056,0.69,0.2036
model-1720839340,1720839388.692,0.64,0.2055,0.75,0.1511
model-1720839340,1720839388.761,0.64,0.2189,0.81,0.1673
model-1720839340,1720839388.83,0.67,0.2028,0.62,0.1941
model-1720839340,1720839388.904,0.68,0.195,0.66,0.2152
model-1720839340,1720839388.998,0.64,0.2122,0.62,0.2158
model-1720839340,1720839389.087,0.7,0.2027,0.47,0.3095
model-1720839340,1720839389.198,0.61,0.2499,0.66,0.1917
model-1720839340,1720839389.299,0.65,0.2191,0.84,0.1611
model-1720839340,1720839389.38,0.72,0.1877,0.66,0.2182
model-1720839340,1720839389.475,0.66,0.2017,0.78,0.157
model-1720839340,1720839389.546,0.75,0.1888,0.59,0.2271
model-1720839340,1720839389.632,0.6,0.2585,0.78,0.1878
model-1720839340,1720839389.718,0.7,0.2042,0.59,0.2128
model-1720839340,1720839389.813,0.63,0.2158,0.75,0.1639
model-1720839340,1720839389.907,0.69,0.2067,0.72,0.2177
model-1720839340,1720839389.986,0.71,0.1907,0.53,0.2372
model-1720839340,1720839390.065,0.7,0.1953,0.72,0.1825
model-1720839340,1720839390.223,0.63,0.2152,0.59,0.2239
model-1720839340,1720839390.333,0.68,0.1892,0.78,0.1761
model-1720839340,1720839390.42,0.63,0.2229,0.53,0.2304
model-1720839340,1720839390.516,0.73,0.2057,0.66,0.2395
model-1720839340,1720839390.622,0.67,0.2134,0.72,0.2075
model-1720839340,1720839390.703,0.63,0.208,0.62,0.222
model-1720839340,1720839390.787,0.66,0.2109,0.72,0.1833
model-1720839340,1720839390.855,0.74,0.1884,0.66,0.2017
model-1720839340,1720839390.926,0.68,0.2106,0.5,0.2761
model-1720839340,1720839391.0,0.77,0.1803,0.84,0.162
model-1720839340,1720839391.068,0.72,0.1805,0.62,0.223
model-1720839340,1720839391.14,0.75,0.1848,0.72,0.1954
model-1720839340,1720839391.218,0.7,0.2034,0.59,0.2514
model-1720839340,1720839391.309,0.63,0.2294,0.72,0.2363
model-1720839340,1720839391.389,0.75,0.1957,0.72,0.1666
model-1720839340,1720839391.489,0.65,0.2095,0.5,0.2256
model-1720839340,1720839391.587,0.68,0.218,0.56,0.2389
model-1720839340,1720839391.703,0.65,0.2162,0.62,0.1867
model-1720839340,1720839391.778,0.74,0.1912,0.72,0.1977
model-1720839340,1720839391.857,0.63,0.2237,0.62,0.2123
model-1720839340,1720839391.936,0.69,0.1982,0.59,0.2588
model-1720839340,1720839392.006,0.63,0.2229,0.78,0.1724
model-1720839340,1720839392.091,0.76,0.1871,0.69,0.2222
model-1720839340,1720839392.165,0.66,0.219,0.62,0.2623
model-1720839340,1720839392.235,0.73,0.196,0.62,0.2282
model-1720839340,1720839392.297,0.72,0.206,0.53,0.2452
model-1720839340,1720839392.37,0.7,0.1896,0.59,0.2643
model-1720839340,1720839392.442,0.54,0.2745,0.62,0.2045
model-1720839340,1720839392.522,0.75,0.1839,0.81,0.1609
model-1720839340,1720839392.603,0.58,0.2473,0.78,0.1753
model-1720839340,1720839392.685,0.74,0.1636,0.72,0.1955
model-1720839340,1720839392.771,0.59,0.2625,0.66,0.1999
model-1720839340,1720839392.869,0.64,0.2132,0.62,0.2513
model-1720839340,1720839392.967,0.65,0.2152,0.59,0.2391
model-1720839340,1720839393.054,0.67,0.1838,0.69,0.1877
model-1720839340,1720839393.127,0.69,0.2025,0.59,0.2216
model-1720839340,1720839393.218,0.7,0.1985,0.53,0.2262
model-1720839340,1720839393.286,0.6,0.2348,0.69,0.2019
model-1720839340,1720839393.356,0.68,0.2167,0.5,0.2731
model-1720839340,1720839393.426,0.67,0.2168,0.72,0.1984
model-1720839340,1720839393.496,0.69,0.2034,0.59,0.217
model-1720839340,1720839393.568,0.7,0.2092,0.72,0.2121
model-1720839340,1720839393.637,0.65,0.2048,0.69,0.2133
model-1720839340,1720839393.804,0.66,0.1984,0.69,0.1981
model-1720839340,1720839393.885,0.66,0.2232,0.78,0.1817
model-1720839340,1720839393.956,0.69,0.2024,0.5,0.2749
model-1720839340,1720839394.041,0.67,0.2055,0.66,0.2239
model-1720839340,1720839394.103,0.69,0.2071,0.56,0.2797
model-1720839340,1720839394.173,0.7,0.1959,0.69,0.1955
model-1720839340,1720839394.258,0.75,0.1864,0.75,0.1982
model-1720839340,1720839394.336,0.62,0.2332,0.75,0.1768
model-1720839340,1720839394.404,0.68,0.1959,0.75,0.1692
model-1720839340,1720839394.49,0.7,0.2008,0.69,0.2005
model-1720839340,1720839394.564,0.51,0.2864,0.66,0.217
model-1720839340,1720839394.628,0.69,0.2098,0.66,0.2223
model-1720839340,1720839394.703,0.67,0.202,0.72,0.1926
model-1720839340,1720839394.77,0.69,0.1914,0.62,0.2182
model-1720839340,1720839394.827,0.63,0.2002,0.66,0.2044
model-1720839340,1720839394.892,0.59,0.2297,0.66,0.203
model-1720839340,1720839394.962,0.72,0.1977,0.66,0.2062
model-1720839340,1720839395.037,0.7,0.2098,0.66,0.2085
model-1720839340,1720839395.109,0.68,0.2061,0.72,0.2052
model-1720839340,1720839395.193,0.68,0.199,0.75,0.201
model-1720839340,1720839395.266,0.73,0.1922,0.75,0.198
model-1720839340,1720839395.348,0.71,0.1864,0.66,0.2274
model-1720839340,1720839395.413,0.65,0.1991,0.66,0.1964
model-1720839340,1720839395.48,0.71,0.1929,0.56,0.2223
model-1720839340,1720839395.544,0.63,0.2083,0.72,0.1825
model-1720839340,1720839395.622,0.66,0.1987,0.69,0.2098
model-1720839340,1720839395.704,0.69,0.2007,0.78,0.1523
model-1720839340,1720839395.775,0.71,0.188,0.66,0.1826
model-1720839340,1720839395.84,0.61,0.2217,0.62,0.2125
model-1720839340,1720839395.915,0.64,0.2348,0.59,0.2227
model-1720839340,1720839395.982,0.83,0.1599,0.66,0.1616
model-1720839340,1720839396.048,0.68,0.2074,0.59,0.2378
model-1720839340,1720839396.122,0.65,0.211,0.66,0.2086
model-1720839340,1720839396.18,0.73,0.1756,0.84,0.1468
model-1720839340,1720839396.234,0.7,0.1965,0.62,0.2254
model-1720839340,1720839396.294,0.68,0.1986,0.78,0.1723
model-1720839340,1720839396.391,0.7,0.1696,0.81,0.1589
model-1720839340,1720839396.457,0.64,0.2162,0.78,0.187
model-1720839340,1720839396.52,0.69,0.1972,0.69,0.2177
model-1720839340,1720839396.594,0.71,0.1854,0.72,0.1799
model-1720839340,1720839396.673,0.77,0.1702,0.53,0.2784
model-1720839340,1720839396.757,0.65,0.2343,0.72,0.201
model-1720839340,1720839396.83,0.73,0.191,0.78,0.1617
model-1720839340,1720839396.9,0.69,0.2096,0.59,0.2542
model-1720839340,1720839396.985,0.66,0.2224,0.66,0.1925
model-1720839340,1720839397.055,0.77,0.1875,0.66,0.2111
model-1720839340,1720839397.13,0.66,0.2133,0.75,0.1795
model-1720839340,1720839397.198,0.76,0.1814,0.69,0.2111
model-1720839340,1720839397.259,0.65,0.2115,0.84,0.153
model-1720839340,1720839397.324,0.7,0.1977,0.59,0.2314
model-1720839340,1720839397.399,0.69,0.1968,0.84,0.1335
model-1720839340,1720839397.473,0.7,0.1948,0.81,0.1672
model-1720839340,1720839397.532,0.7,0.1897,0.78,0.181
model-1720839340,1720839397.605,0.73,0.1993,0.88,0.1273
model-1720839340,1720839397.676,0.58,0.2248,0.75,0.1849
model-1720839340,1720839397.745,0.7,0.1932,0.66,0.2164
model-1720839340,1720839397.804,0.78,0.1696,0.59,0.2377
model-1720839340,1720839397.876,0.7,0.203,0.75,0.1776
model-1720839340,1720839397.944,0.69,0.2166,0.66,0.1908
model-1720839340,1720839398.016,0.71,0.1851,0.78,0.1744
model-1720839340,1720839398.179,0.63,0.248,0.69,0.1814
model-1720839340,1720839398.279,0.65,0.2126,0.53,0.2441
model-1720839340,1720839398.367,0.73,0.1749,0.75,0.1941
model-1720839340,1720839398.435,0.73,0.1883,0.59,0.2549
model-1720839340,1720839398.51,0.68,0.2115,0.62,0.2151
model-1720839340,1720839398.587,0.64,0.2357,0.66,0.2045
model-1720839340,1720839398.674,0.61,0.22,0.72,0.1999
model-1720839340,1720839398.743,0.77,0.182,0.53,0.2454
model-1720839340,1720839398.808,0.76,0.1984,0.78,0.1827
model-1720839340,1720839398.88,0.69,0.186,0.62,0.2203
model-1720839340,1720839398.958,0.69,0.1943,0.62,0.201
model-1720839340,1720839399.024,0.62,0.2333,0.72,0.2102
model-1720839340,1720839399.084,0.72,0.1901,0.81,0.1711
model-1720839340,1720839399.163,0.68,0.2155,0.59,0.2355
model-1720839340,1720839399.226,0.7,0.1935,0.78,0.1545
model-1720839340,1720839399.289,0.7,0.187,0.56,0.2373
model-1720839340,1720839399.348,0.7,0.202,0.56,0.2222
model-1720839340,1720839399.416,0.64,0.2257,0.53,0.2307
model-1720839340,1720839399.475,0.72,0.1962,0.78,0.1942
model-1720839340,1720839399.541,0.6,0.2191,0.66,0.2034
model-1720839340,1720839399.609,0.75,0.1777,0.78,0.1829
model-1720839340,1720839399.697,0.68,0.1989,0.72,0.1703
model-1720839340,1720839399.768,0.73,0.1838,0.84,0.1602
model-1720839340,1720839399.877,0.79,0.1663,0.78,0.1677
model-1720839340,1720839399.964,0.75,0.1768,0.62,0.2307
model-1720839340,1720839400.042,0.69,0.1924,0.66,0.1932
model-1720839340,1720839400.11,0.66,0.1906,0.72,0.2081
model-1720839340,1720839400.182,0.73,0.1869,0.69,0.2286
model-1720839340,1720839400.26,0.69,0.1787,0.81,0.158
model-1720839340,1720839400.352,0.68,0.1937,0.69,0.183
model-1720839340,1720839400.43,0.76,0.1574,0.72,0.1723
model-1720839340,1720839400.518,0.78,0.1786,0.84,0.135
model-1720839340,1720839400.582,0.72,0.2001,0.59,0.2596
model-1720839340,1720839400.641,0.68,0.201,0.72,0.2026
model-1720839340,1720839400.703,0.77,0.1666,0.81,0.1294
model-1720839340,1720839400.772,0.7,0.189,0.72,0.1908
model-1720839340,1720839400.832,0.71,0.1991,0.66,0.1966
model-1720839340,1720839400.923,0.72,0.207,0.72,0.1935
model-1720839340,1720839400.99,0.72,0.1787,0.78,0.1286
model-1720839340,1720839401.051,0.7,0.2042,0.72,0.1676
model-1720839340,1720839401.12,0.73,0.2063,0.69,0.2192
model-1720839340,1720839401.19,0.69,0.1954,0.78,0.2006
model-1720839340,1720839401.259,0.67,0.2083,0.72,0.201
model-1720839340,1720839401.331,0.72,0.2101,0.69,0.1766
model-1720839340,1720839401.396,0.76,0.1861,0.72,0.2012
model-1720839340,1720839401.461,0.75,0.1878,0.69,0.198
model-1720839340,1720839401.52,0.77,0.1545,0.72,0.2103
model-1720839340,1720839401.575,0.71,0.1937,0.88,0.1412
model-1720839340,1720839401.628,0.66,0.1995,0.81,0.1633
model-1720839340,1720839401.713,0.75,0.1723,0.66,0.2197
model-1720839340,1720839401.833,0.79,0.1583,0.69,0.1884
model-1720839340,1720839401.943,0.69,0.2132,0.81,0.1729
model-1720839340,1720839402.022,0.74,0.1805,0.69,0.2195
model-1720839340,1720839402.097,0.72,0.1944,0.75,0.1838
model-1720839340,1720839402.169,0.66,0.1997,0.66,0.2028
model-1720839340,1720839402.29,0.81,0.1563,0.5,0.3056
model-1720839340,1720839402.424,0.69,0.196,0.78,0.1675
model-1720839340,1720839402.503,0.68,0.1858,0.66,0.2182
model-1720839340,1720839402.569,0.73,0.1714,0.66,0.2075
model-1720839340,1720839402.639,0.77,0.1747,0.66,0.186
model-1720839340,1720839402.717,0.77,0.1748,0.75,0.1907
model-1720839340,1720839402.793,0.74,0.1665,0.66,0.2365
model-1720839340,1720839402.865,0.72,0.1846,0.75,0.2085
model-1720839340,1720839402.946,0.62,0.2353,0.56,0.2621
model-1720839340,1720839403.075,0.7,0.2063,0.62,0.2391
model-1720839340,1720839403.144,0.7,0.1909,0.62,0.1994
model-1720839340,1720839403.209,0.76,0.1834,0.62,0.214
model-1720839340,1720839403.267,0.69,0.1819,0.62,0.2327
model-1720839340,1720839403.327,0.76,0.1765,0.78,0.1423
model-1720839340,1720839403.393,0.62,0.2267,0.66,0.1942
model-1720839340,1720839403.452,0.66,0.2022,0.72,0.2015
model-1720839340,1720839403.513,0.7,0.1959,0.78,0.1832
model-1720839340,1720839403.569,0.67,0.2051,0.66,0.2042
model-1720839340,1720839403.625,0.67,0.2085,0.69,0.1882
model-1720839340,1720839403.689,0.71,0.1946,0.72,0.2213
model-1720839340,1720839403.743,0.71,0.186,0.62,0.2124
model-1720839340,1720839403.799,0.71,0.1853,0.59,0.2195
model-1720839340,1720839403.86,0.74,0.1746,0.62,0.2355
model-1720839340,1720839403.931,0.69,0.1926,0.62,0.193
model-1720839340,1720839403.998,0.74,0.1849,0.69,0.1933
model-1720839340,1720839404.058,0.69,0.1814,0.62,0.2161
model-1720839340,1720839404.121,0.72,0.1884,0.69,0.188
model-1720839340,1720839404.184,0.74,0.1782,0.72,0.217
model-1720839340,1720839404.242,0.72,0.1916,0.88,0.1512
model-1720839340,1720839404.319,0.66,0.2044,0.78,0.1723
model-1720839340,1720839404.396,0.69,0.1964,0.75,0.1785
model-1720839340,1720839404.472,0.77,0.1606,0.84,0.146
model-1720839340,1720839404.531,0.71,0.2053,0.69,0.1834
model-1720839340,1720839404.594,0.71,0.1806,0.66,0.2288
model-1720839340,1720839404.658,0.63,0.2188,0.66,0.2455
model-1720839340,1720839404.716,0.77,0.1782,0.75,0.1986
model-1720839340,1720839404.791,0.75,0.1954,0.59,0.2102
model-1720839340,1720839404.858,0.68,0.2102,0.59,0.221
model-1720839340,1720839404.93,0.71,0.1938,0.69,0.1841
model-1720839340,1720839404.995,0.72,0.201,0.66,0.2357
model-1720839340,1720839405.058,0.75,0.1891,0.88,0.1552
model-1720839340,1720839405.125,0.66,0.2002,0.72,0.1594
model-1720839340,1720839405.199,0.72,0.1954,0.88,0.1433
model-1720839340,1720839405.263,0.74,0.1803,0.72,0.2195
model-1720839340,1720839405.32,0.7,0.2251,0.59,0.2502
model-1720839340,1720839405.377,0.72,0.1864,0.84,0.1281
model-1720839340,1720839405.432,0.73,0.1613,0.59,0.2449
model-1720839340,1720839405.489,0.81,0.1731,0.72,0.1787
model-1720839340,1720839405.563,0.66,0.2004,0.69,0.1889
model-1720839340,1720839405.631,0.7,0.1957,0.56,0.2533
model-1720839340,1720839405.697,0.7,0.2017,0.59,0.2292
model-1720839340,1720839405.766,0.65,0.2252,0.62,0.2001
model-1720839340,1720839405.825,0.73,0.1852,0.75,0.1843
model-1720839340,1720839405.895,0.72,0.1808,0.59,0.2701
model-1720839340,1720839405.977,0.69,0.1969,0.69,0.1728
model-1720839340,1720839406.054,0.7,0.2016,0.53,0.2861
model-1720839340,1720839406.121,0.65,0.2463,0.59,0.2136
model-1720839340,1720839406.2,0.64,0.2161,0.78,0.1641
model-1720839340,1720839406.265,0.73,0.1813,0.56,0.2362
model-1720839340,1720839406.336,0.72,0.1871,0.81,0.1731
model-1720839340,1720839406.416,0.69,0.1797,0.69,0.2242
model-1720839340,1720839406.487,0.59,0.2362,0.59,0.1996
model-1720839340,1720839406.58,0.64,0.1912,0.66,0.2027
model-1720839340,1720839406.649,0.66,0.1993,0.75,0.185
model-1720839340,1720839406.718,0.77,0.1957,0.66,0.1978
model-1720839340,1720839406.781,0.74,0.1751,0.72,0.2248
model-1720839340,1720839406.854,0.68,0.1944,0.69,0.2134
model-1720839340,1720839407.082,0.64,0.219,0.66,0.195
model-1720839340,1720839407.218,0.76,0.1814,0.72,0.2086
model-1720839340,1720839407.314,0.69,0.2002,0.72,0.222
model-1720839340,1720839407.432,0.75,0.1873,0.69,0.1903
model-1720839340,1720839407.53,0.66,0.2125,0.66,0.1892
model-1720839340,1720839407.643,0.62,0.2114,0.62,0.2489
model-1720839340,1720839407.758,0.77,0.1859,0.75,0.1686
model-1720839340,1720839407.855,0.76,0.1777,0.69,0.2281
model-1720839340,1720839407.945,0.67,0.2127,0.72,0.1657
model-1720839340,1720839408.064,0.76,0.1716,0.69,0.1735
model-1720839340,1720839408.147,0.74,0.1735,0.84,0.1501
model-1720839340,1720839408.227,0.74,0.1784,0.62,0.2134
model-1720839340,1720839408.29,0.71,0.191,0.81,0.1866
model-1720839340,1720839408.354,0.64,0.2261,0.66,0.2044
model-1720839340,1720839408.419,0.72,0.1829,0.69,0.1973
model-1720839340,1720839408.495,0.68,0.1931,0.66,0.2189
model-1720839340,1720839408.568,0.72,0.2056,0.56,0.218
model-1720839340,1720839408.638,0.65,0.2087,0.69,0.1864
model-1720839340,1720839408.734,0.67,0.203,0.62,0.2234
model-1720839340,1720839408.797,0.69,0.2141,0.66,0.2339
model-1720839340,1720839408.853,0.76,0.1764,0.69,0.205
model-1720839340,1720839408.99,0.67,0.2075,0.62,0.2216
model-1720839340,1720839409.06,0.79,0.1768,0.75,0.1616
model-1720839340,1720839409.13,0.71,0.2085,0.69,0.1587
model-1720839340,1720839409.194,0.7,0.1997,0.69,0.2055
model-1720839340,1720839409.261,0.7,0.1943,0.72,0.1667
model-1720839340,1720839409.323,0.75,0.1759,0.56,0.2271
model-1720839340,1720839409.389,0.61,0.2738,0.81,0.174
model-1720839340,1720839409.455,0.76,0.1752,0.72,0.1634
model-1720839340,1720839409.533,0.66,0.2175,0.81,0.1273
model-1720839340,1720839409.599,0.76,0.1655,0.78,0.156
model-1720839340,1720839409.667,0.62,0.2552,0.69,0.1965
model-1720839340,1720839409.731,0.67,0.1997,0.59,0.2592
model-1720839340,1720839409.793,0.71,0.19,0.78,0.1789
model-1720839340,1720839409.856,0.75,0.1726,0.56,0.2403
model-1720839340,1720839409.913,0.67,0.1847,0.69,0.1921
model-1720839340,1720839409.984,0.72,0.1876,0.62,0.2223
model-1720839340,1720839410.062,0.63,0.2212,0.53,0.289
model-1720839340,1720839410.14,0.61,0.2216,0.75,0.1498
model-1720839340,1720839410.213,0.67,0.2101,0.47,0.2342
model-1720839340,1720839410.286,0.68,0.1985,0.62,0.2221
model-1720839340,1720839410.375,0.7,0.2118,0.56,0.2633
model-1720839340,1720839410.452,0.66,0.1987,0.78,0.1894
model-1720839340,1720839410.522,0.71,0.1923,0.69,0.1771
model-1720839340,1720839410.588,0.64,0.2234,0.59,0.2216
model-1720839340,1720839410.652,0.64,0.2082,0.75,0.2137
model-1720839340,1720839410.709,0.66,0.2061,0.72,0.1967
model-1720839340,1720839410.765,0.64,0.2073,0.62,0.2166
model-1720839340,1720839410.821,0.8,0.1739,0.53,0.2607
model-1720839340,1720839410.881,0.8,0.1652,0.56,0.2129
model-1720839340,1720839410.951,0.59,0.2344,0.62,0.2411
model-1720839340,1720839411.034,0.66,0.2061,0.75,0.1879
model-1720839340,1720839411.124,0.8,0.1714,0.75,0.1808
model-1720839340,1720839411.207,0.61,0.2432,0.72,0.2105
model-1720839340,1720839411.273,0.72,0.1914,0.72,0.1945
model-1720839340,1720839411.351,0.76,0.1779,0.72,0.2035
model-1720839340,1720839411.427,0.71,0.1705,0.72,0.1952
model-1720839340,1720839411.504,0.66,0.2073,0.72,0.1862
model-1720839340,1720839411.606,0.71,0.1979,0.62,0.2452
model-1720839340,1720839411.688,0.71,0.1708,0.53,0.228
