model,time,acc,loss,val_acc,val_loss
model-1720839340,1720839353.041,0.51,0.2519,0.53,0.2419
model-1720839340,1720839353.103,0.62,0.2339,0.59,0.2413
model-1720839340,1720839353.173,0.57,0.2369,0.66,0.2351
model-1720839340,1720839353.23,0.63,0.2421,0.66,0.2397
model-1720839340,1720839353.287,0.62,0.2439,0.62,0.2397
model-1720839340,1720839353.35,0.49,0.2456,0.44,0.2567
model-1720839340,1720839353.41,0.69,0.2334,0.72,0.2319
model-1720839340,1720839353.489,0.63,0.2369,0.53,0.2424
model-1720839340,1720839353.549,0.6,0.2397,0.59,0.2255
model-1720839340,1720839353.619,0.59,0.2397,0.72,0.2266
model-1720839340,1720839353.685,0.51,0.2489,0.56,0.24
model-1720839340,1720839353.778,0.61,0.2336,0.59,0.2337
model-1720839340,1720839353.849,0.6,0.2441,0.62,0.2266
model-1720839340,1720839353.972,0.58,0.2397,0.69,0.2342
model-1720839340,1720839354.047,0.62,0.2294,0.62,0.2218
model-1720839340,1720839354.111,0.62,0.2408,0.47,0.2552
model-1720839340,1720839354.176,0.56,0.2513,0.69,0.2232
model-1720839340,1720839354.24,0.54,0.238,0.62,0.2331
model-1720839340,1720839354.315,0.61,0.234,0.62,0.2314
model-1720839340,1720839354.389,0.51,0.2433,0.59,0.2151
model-1720839340,1720839354.459,0.57,0.247,0.53,0.2574
model-1720839340,1720839354.531,0.62,0.2273,0.47,0.2693
model-1720839340,1720839354.604,0.61,0.2276,0.56,0.238
model-1720839340,1720839354.676,0.51,0.2433,0.72,0.2151
model-1720839340,1720839354.748,0.55,0.2446,0.66,0.2201
model-1720839340,1720839354.824,0.56,0.2338,0.5,0.2632
model-1720839340,1720839354.889,0.52,0.2488,0.31,0.2845
model-1720839340,1720839354.952,0.52,0.2492,0.44,0.2639
model-1720839340,1720839355.008,0.61,0.2287,0.44,0.2724
model-1720839340,1720839355.071,0.64,0.2369,0.53,0.2404
model-1720839340,1720839355.13,0.6,0.23,0.62,0.2386
model-1720839340,1720839355.193,0.64,0.2276,0.66,0.2291
model-1720839340,1720839355.261,0.6,0.2381,0.72,0.2088
model-1720839340,1720839355.324,0.68,0.2156,0.66,0.2272
model-1720839340,1720839355.403,0.64,0.2285,0.72,0.212
model-1720839340,1720839355.476,0.65,0.2197,0.62,0.2257
model-1720839340,1720839355.57,0.5,0.249,0.66,0.2247
model-1720839340,1720839355.655,0.52,0.2502,0.72,0.2111
model-1720839340,1720839355.73,0.65,0.2118,0.56,0.2406
model-1720839340,1720839355.806,0.63,0.2252,0.69,0.2187
model-1720839340,1720839355.863,0.61,0.2234,0.66,0.2155
model-1720839340,1720839355.919,0.65,0.2238,0.66,0.2075
model-1720839340,1720839355.988,0.56,0.2451,0.44,0.2554
model-1720839340,1720839356.05,0.68,0.22,0.75,0.2013
model-1720839340,1720839356.13,0.6,0.2248,0.66,0.2229
model-1720839340,1720839356.189,0.61,0.2224,0.56,0.2424
model-1720839340,1720839356.26,0.67,0.2331,0.59,0.227
model-1720839340,1720839356.329,0.6,0.2399,0.62,0.2285
model-1720839340,1720839356.404,0.57,0.2378,0.53,0.2434
model-1720839340,1720839356.493,0.51,0.2355,0.59,0.2282
model-1720839340,1720839356.554,0.67,0.2128,0.47,0.2632
model-1720839340,1720839356.628,0.65,0.2242,0.66,0.2108
model-1720839340,1720839356.775,0.61,0.2245,0.62,0.2307
model-1720839340,1720839356.854,0.71,0.2161,0.5,0.2403
model-1720839340,1720839356.916,0.64,0.2289,0.56,0.2368
model-1720839340,1720839356.974,0.58,0.261,0.56,0.2178
model-1720839340,1720839357.043,0.51,0.2466,0.59,0.2374
model-1720839340,1720839357.121,0.6,0.2263,0.75,0.2249
model-1720839340,1720839357.187,0.6,0.2352,0.69,0.2268
model-1720839340,1720839357.256,0.57,0.251,0.62,0.2294
model-1720839340,1720839357.324,0.62,0.2248,0.47,0.2602
model-1720839340,1720839357.401,0.61,0.2326,0.56,0.2342
model-1720839340,1720839357.527,0.55,0.2465,0.56,0.2471
model-1720839340,1720839357.627,0.5,0.254,0.5,0.2498
model-1720839340,1720839357.713,0.61,0.2259,0.56,0.2389
model-1720839340,1720839357.796,0.56,0.2456,0.72,0.2327
model-1720839340,1720839357.879,0.62,0.2437,0.72,0.2203
model-1720839340,1720839357.945,0.66,0.2286,0.56,0.2512
model-1720839340,1720839358.022,0.68,0.2158,0.53,0.2358
model-1720839340,1720839358.094,0.42,0.2854,0.53,0.2517
model-1720839340,1720839358.163,0.62,0.2285,0.59,0.2404
model-1720839340,1720839358.236,0.54,0.2585,0.59,0.2251
model-1720839340,1720839358.309,0.55,0.2412,0.62,0.2302
model-1720839340,1720839358.371,0.54,0.2404,0.62,0.2331
model-1720839340,1720839358.437,0.59,0.2357,0.72,0.2191
model-1720839340,1720839358.501,0.62,0.2333,0.72,0.2186
model-1720839340,1720839358.575,0.63,0.2343,0.53,0.2319
model-1720839340,1720839358.637,0.49,0.2561,0.59,0.2432
model-1720839340,1720839358.711,0.47,0.2719,0.53,0.2381
model-1720839340,1720839358.78,0.54,0.2413,0.41,0.2566
model-1720839340,1720839358.847,0.58,0.2473,0.69,0.2333
model-1720839340,1720839358.912,0.49,0.25,0.56,0.2381
model-1720839340,1720839358.992,0.66,0.2313,0.59,0.24
model-1720839340,1720839359.058,0.64,0.2398,0.62,0.2419
model-1720839340,1720839359.135,0.63,0.2364,0.47,0.2351
model-1720839340,1720839359.212,0.67,0.235,0.56,0.2417
model-1720839340,1720839359.277,0.63,0.2351,0.47,0.2443
model-1720839340,1720839359.334,0.63,0.229,0.59,0.2352
model-1720839340,1720839359.411,0.7,0.2315,0.5,0.2381
model-1720839340,1720839359.481,0.62,0.2394,0.59,0.2429
model-1720839340,1720839359.541,0.6,0.2393,0.69,0.2238
model-1720839340,1720839359.603,0.62,0.2314,0.53,0.2413
model-1720839340,1720839359.677,0.65,0.2262,0.59,0.2314
model-1720839340,1720839359.77,0.58,0.2372,0.62,0.2194
model-1720839340,1720839359.839,0.67,0.2208,0.59,0.2269
model-1720839340,1720839359.899,0.51,0.2609,0.59,0.2432
model-1720839340,1720839359.972,0.64,0.2221,0.72,0.2051
model-1720839340,1720839360.035,0.69,0.2222,0.59,0.2368
model-1720839340,1720839360.093,0.64,0.2282,0.66,0.2158
model-1720839340,1720839360.158,0.65,0.2384,0.53,0.2538
model-1720839340,1720839360.233,0.58,0.2323,0.72,0.2088
model-1720839340,1720839360.298,0.76,0.1927,0.69,0.2112
model-1720839340,1720839360.38,0.61,0.2419,0.69,0.2173
model-1720839340,1720839360.53,0.6,0.2259,0.59,0.2187
model-1720839340,1720839360.598,0.56,0.2437,0.72,0.18
model-1720839340,1720839360.667,0.62,0.2131,0.75,0.2069
model-1720839340,1720839360.727,0.67,0.2133,0.66,0.2207
model-1720839340,1720839360.8,0.62,0.2331,0.59,0.2418
model-1720839340,1720839360.861,0.62,0.2167,0.69,0.1986
